id,ISSN,CN,name1,name2,oldname,category1,category2,cIF,sIF,publishNO,downNO,citeNO,evaluation,organizer,location,frequency,language,format,postalcode,firstissue,status,jurl
5862,-,-,南大戏剧论丛,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,325,36429,280,CSSCI来源集刊,南京大学戏剧影视研究所,江苏省 南京市,半年,中文,16开,-,2005,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NDXJ/detail'>Link</a>
5863,-,-,南方民族考古,Southern Ethnology and Archaeology,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,284,66686,581,-,四川大学博物馆;四川大学考古学系;成都市文物考古研究所,四川省成都市,半年,中文,16开,-,1987,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NFMZ/detail'>Link</a>
5864,1672-8335,44-1614/C,南方人物周刊,Southern People Weekly,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,11609,402648,2617,-,南方报业传媒集团,广东省广州市,周刊,中文,16开,-,2004,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NFRW/detail'>Link</a>
5865,1002-3968,45-1059/I,南方文学,Southern Literature,漓江,哲学与人文科学,哲学与人文科学,-99.99,-99.99,1488,12116,40,-,桂林市文学艺术界联合会,广西壮族自治区桂林市,双月,中文,大16开,-,1979,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NFWX/detail'>Link</a>
5866,-,-,南方文学评论,Southern Literary Review,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,56,1958,2,-,湖南省文学评论学会,湖南省长沙市,年刊,中文,16开,-,2020,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NFPL/detail'>Link</a>
5867,0257-2885,52-1016/I,南风,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,4161,22520,36,-,贵州省文学艺术联合会,贵州省贵阳市,旬刊,中文,大32开,66-15,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NAFE/detail'>Link</a>
5868,2095-2600,45-1382/C,南国博览,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,2195,45561,331,-,广西日报社,广西壮族自治区南宁市,月刊,中文,16开,-,2011,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NGBL/detail'>Link</a>
5869,1006-2637,44-1161/J,南国红豆,-,粤剧研究;戏剧研究资料,哲学与人文科学,戏剧电影与电视艺术,-99.99,-99.99,4742,215584,989,-,广州市文艺创作研究所,广东省广州市,双月,中文,大16开,-,1980,停刊,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NGHD/detail'>Link</a>
5870,1009-8569,32-1616/GO,南京史志,Nanjing Local History,紫金岁月,哲学与人文科学,中国民族与地方史志,-99.99,-99.99,981,56576,429,-,南京出版社,江苏省南京市,月刊,中文,16开,28-246,2001,停刊,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NJSZ/detail'>Link</a>
5871,-,-,南京学研究,Studies on Nanjing,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,83,4047,5,-,南京市社科联;南京城市文化研究会,江苏省南京市,半年,中文,16开,-,2020,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NJXY/detail'>Link</a>
5872,-,-,南开史学,Nankai Historical Studies,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,504,12118,54,-,南开大学历史学院,北京市,半年,中文,16开,-,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NKSX/detail'>Link</a>
5873,-,-,南开语言学刊,Nankai Linguistics,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,1279,484817,9411,CSSCI来源集刊,南开大学文学院;汉语言文化学院,天津市,半年,中文,16开,-,2002,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NKYK/detail'>Link</a>
5874,1003-2711,41-1046/J,南腔北调,Mixed Accent,南腔北调(明星版),哲学与人文科学,哲学与人文科学,-99.99,-99.99,2409,58522,143,-,河南省文学艺术界联合会,河南省郑州市,月刊,中文,16开,36-5,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NQBD/detail'>Link</a>
5875,1007-3248,15-1012/Z,内蒙古画报,Inner Mongolia Pictorial,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,752,18347,106,-,内蒙古画报社,内蒙古自治区呼和浩特市,双月,中文,16开,-,1948,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NMGH/detail'>Link</a>
5876,1007-3337,15-1186/J,内蒙古艺术,Inner Mongolia Art,北国影剧,哲学与人文科学,文史哲综合,-99.99,-99.99,1880,191453,3284,-,内蒙古艺术研究所,内蒙古自治区呼和浩特市,季刊,中文,大16开,-,1980,停刊,<a target='_blank' href='https://navi.cnki.net/knavi/journals/LMYS/detail'>Link</a>
5877,1004-6054,14-1049/I,娘子关,-,阳泉文艺;红与黑,哲学与人文科学,哲学与人文科学,-99.99,-99.99,3032,23367,63,-,阳泉市文学艺术界联合会,山西省阳泉市,双月,中文,16开,-,1978,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NZIG/detail'>Link</a>
5878,-,-,年画研究,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,185,9706,110,-,天津大学冯骥才艺术研究院,天津市,年刊,中文,16开,-,2011,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NHYJ/detail'>Link</a>
5879,1005-9288,64-1009/Z,宁夏画报(生活版),Ningxia Pictorial,宁夏画报,哲学与人文科学,哲学与人文科学,-99.99,-99.99,1924,22766,58,-,宁夏画报实业有限公司,宁夏回族自治区银川市,双月,中文,大16开,74-11,2007,停刊,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NXHB/detail'>Link</a>
5880,1672-9757,61-1438/G,女友(花园版),-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,177,1427,-99,-,陕西女友传媒发展有限公司,陕西省西安市,季刊,中文,16开,-,1988,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NYHU/detail'>Link</a>
5881,1672-9765,61-1437/G,女友(家园),-,女友(家园版),哲学与人文科学,哲学与人文科学,-99.99,-99.99,367,3101,-99,-,陕西女友传媒发展有限公司,陕西省西安市,季刊,中文,16开,52-22,1988,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NVJY/detail'>Link</a>
5882,1672-9773,61-1439/G,女友(校园),-,女友(校园版),哲学与人文科学,哲学与人文科学,-99.99,-99.99,354,3264,-99,-,陕西女友传媒发展有限公司,陕西省西安市,季刊,中文,16开,52-22,1988,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/NVXY/detail'>Link</a>
5883,-,-,欧美文学论丛,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,265,76344,643,-,北京大学外国语学院；北京大学欧美文学研究中心,北京市,年刊,中文,32开,-,2002,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/OMWX/detail'>Link</a>
5884,2096-7756,10-1610/G1,欧亚人文研究(中俄文),Eurasian Humanities Studies,欧亚人文研究,哲学与人文科学,文化,-99.99,-99.99,141,13736,24,-,北京外国语大学,北京市,季刊,中文,16开,-,2019,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/OYRW/detail'>Link</a>
5885,-,-,欧亚学刊,International Journal of Eurasian Studies,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,230,30829,334,-,中国社会科学院历史研究所内陆欧亚学研究中心,北京市,半年,中文,大16开,-,1999,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/OYXK/detail'>Link</a>
5886,-,-,欧洲语言文化研究,Chinese Journal of European Languages and Cultures,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,57,1711,1,-,北京外国语大学欧洲语言文化学院,北京市,半年,中文,16开,-,2015,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/OZYW/detail'>Link</a>
5887,1673-2626,65-1254/G0,帕米尔,The Pamirs Maguzine,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,492,15380,72,-,新疆克孜勒苏克孜自治州文联,北京市,月刊,中文,大16开,-,2004,停刊,<a target='_blank' href='https://navi.cnki.net/knavi/journals/PMET/detail'>Link</a>
5888,-,-,骈文研究,Research on Parallel Prose,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,104,1827,8,-,广西师范大学中华优秀传统文化传承发展中心,广西壮族自治区桂林市,年刊,中文,16开,-,2017,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/PWYJ/detail'>Link</a>
5889,1673-7903,53-1201/G2,普洱,Pu-erh,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,4371,79002,255,-,《普洱》杂志社,云南省普洱市,月刊,中文,16开,64-25,2006,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/PUER/detail'>Link</a>
5890,-,-,普陀学刊,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,173,10655,69,-,中国佛学院普陀山学院,上海市,半年,中文,16开,-,2014,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/PTXK/detail'>Link</a>
5891,-,-,钱币文论特辑,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,53,3141,15,-,安徽省钱币学会,安徽省安庆市,-,中文,-,-,9999,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/QBWJ/detail'>Link</a>
5892,-,-,乾陵文化研究,Qianling Culture Research,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,716,74655,356,-,乾陵博物馆,陕西省 咸阳市,年刊,中文,16开,-,2005,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/QLYJ/detail'>Link</a>
5893,-,-,钱学森研究,Qian Xuesen Research,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,128,4349,25,-,上海交通大学钱学森研究中心,上海市,半年,中文,16开,-,2016,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/QXSY/detail'>Link</a>
5894,-,-,切磋集系列,-,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,132,3130,2,-,四川大学哲学系中国哲学教研室,四川省成都市,年刊,中文,16开,-,2010,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/QCJX/detail'>Link</a>
5895,1005-2445,32-1026/I,青春,Youth,-,哲学与人文科学,哲学与人文科学,-99.99,-99.99,6121,63758,312,-,南京市文联,江苏省南京市,月刊,中文,大16开,-,1979,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/QCYT/detail'>Link</a>
5896,1007-5070,13-1035/C,青春岁月,Youth Years,河北青年,哲学与人文科学,哲学与人文科学,-99.99,-99.99,38364,2244991,15957,-,共青团河北省委,河北省石家庄市,半月,中文,16开,-,1982,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/QCSY/detail'>Link</a>
